Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J2","SM10B-GHS-TB","JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal",118.3000,-110.4900,180.0000,top
"J3","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",133.0205,-110.4900,180.0000,top
"J5","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",158.7015,-110.4900,180.0000,top
"J6","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",145.8610,-110.4900,180.0000,top
"J7","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",169.6720,-110.4900,180.0000,top
