Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","Flipper_Zero","Flipper_Zero_Straight",112.8387,-117.5494,0.0000,bottom
"J2","SM10B-GHS-TB","JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal",118.3000,-110.4900,180.0000,top
"J3","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",133.0205,-110.4900,180.0000,top
"J4","Angled Pinheader","PinHeader_1x03_P2.54mm_Horizontal",141.7320,-118.4310,90.0000,bottom
"J5","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",158.7015,-110.4900,180.0000,top
"J6","SM07B-GHS-TB","JST_GH_SM07B-GHS-TB_1x07-1MP_P1.25mm_Horizontal",145.8610,-110.4900,180.0000,top
"J7","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",169.6720,-110.4900,180.0000,top
"J8","SM06B-GHS-TB","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",127.0000,-110.4900,0.0000,bottom
"J9","SM08B-GHS-TB","JST_GH_SM08B-GHS-TB_1x08-1MP_P1.25mm_Horizontal",155.0000,-110.4900,0.0000,bottom
